instrument_token,last_trade_time,last_price,oi_day_high,oi_day_low,volume
779521,2024-04-03 12:08:51,762.8,0,0,4618335
779521,2024-04-03 12:08:51,762.8,0,0,4618335
779521,2024-04-03 12:08:51,762.8,0,0,4618335
779521,2024-04-03 12:08:51,762.8,0,0,4618335
779521,2024-04-03 12:08:51,762.8,0,0,4618335
779521,2024-04-03 12:08:51,762.8,0,0,4618335
779521,2024-04-03 12:08:54,762.9,0,0,4618897
779521,2024-04-03 12:08:54,762.9,0,0,4618897
779521,2024-04-03 12:08:54,762.9,0,0,4618897
779521,2024-04-03 12:08:54,762.9,0,0,4618897
779521,2024-04-03 12:08:54,762.9,0,0,4618897
779521,2024-04-03 12:08:54,762.85,0,0,4618897
779521,2024-04-03 12:08:54,762.85,0,0,4618897
779521,2024-04-03 12:08:54,762.85,0,0,4618897
779521,2024-04-03 12:08:54,762.85,0,0,4618897
779521,2024-04-03 12:08:54,762.85,0,0,4618897
779521,2024-04-03 12:08:54,762.85,0,0,4618897
779521,2024-04-03 12:08:55,762.9,0,0,4619249
779521,2024-04-03 12:08:55,762.9,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:55,762.85,0,0,4619249
779521,2024-04-03 12:08:56,762.8,0,0,4619414
779521,2024-04-03 12:08:56,762.8,0,0,4619414
779521,2024-04-03 12:08:56,762.8,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:56,762.85,0,0,4619414
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:57,762.85,0,0,4619461
779521,2024-04-03 12:08:58,762.85,0,0,4619496
779521,2024-04-03 12:08:58,762.85,0,0,4619496
779521,2024-04-03 12:08:58,762.85,0,0,4619496
779521,2024-04-03 12:08:58,762.85,0,0,4619496
